A,B
796,5
1793,7
479,5
808,5
1615,7
1788,7
1806,7
1434,7
84,5
1958,7
1929,7
1897,7
1024,7
897,5
771,5
1627,7
1836,7
1710,7
1066,7
1901,7
998,5
793,5
770,5
1259,7
353,5
267,5
1874,7
43,5
529,5
98,5
1072,7
1869,7
1014,7
1737,7
1566,7
831,5
839,5
1125,7
702,5
343,5
1674,7
1480,7
803,5
828,5
1295,7
1670,7
1621,7
1967,7
1363,7
1908,7
138,5
216,5
1761,7
28,5
277,5
1473,7
1129,7
1829,7
1391,7
423,5
265,5
173,5
316,5
732,5
254,5
965,5
400,5
1799,7
1978,7
252,5
355,5
1652,7
1887,7
875,5
1805,7
1067,7
1920,7
1789,7
1525,7
856,5
1939,7
184,5
61,5
574,5
92,5
69,5
739,5
988,5
768,5
1751,7
1360,7
1399,7
1226,7
133,5
1251,7
1033,7
927,5
1173,7
1686,7
123,5
1592,7
528,5
1602,7
1116,7
1002,7
197,5
1998,7
1916,7
1333,7
464,5
1185,7
402,5
1365,7
68,5
1738,7
369,5
1214,7
70,5
820,5
1165,7
1262,7
1159,7
592,5
1032,7
427,5
1223,7
709,5
760,5
1906,7
788,5
188,5
548,5
1140,7
972,5
1813,7
1636,7
1712,7
1038,7
1739,7
1951,7
1850,7
33,5
1260,7
1834,7
1932,7
292,5
1375,7
1241,7
1481,7
298,5
1334,7
1225,7
731,5
1487,7
653,5
519,5
1557,7
1550,7
1235,7
1498,7
1398,7
25,5
1177,7
536,5
1483,7
1804,7
1101,7
1979,7
1614,7
801,5
1505,7
1660,7
1629,7
1655,7
1581,7
157,5
546,5
1990,7
266,5
1821,7
1209,7
1766,7
956,5
1370,7
1912,7
305,5
183,5
289,5
359,5
200,5
462,5
1064,7
814,5
122,5
1045,7
713,5
1208,7
579,5
714,5
1968,7
362,5
1930,7
1172,7
909,5
459,5
99,5
1436,7
1669,7
737,5
1503,7
1285,7
1496,7
843,5
345,5
1861,7
1320,7
719,5
1881,7
730,5
358,5
19,5
1965,7
1928,7
1635,7
672,5
1504,7
667,5
631,5
752,5
275,5
637,5
18,5
1545,7
487,5
1857,7
253,5
1618,7
994,5
364,5
873,5
1029,7
1358,7
226,5
1414,7
783,5
983,5
297,5
1720,7
1927,7
810,5
596,5
1565,7
1369,7
198,5
538,5
915,5
1393,7
1491,7
1941,7
1528,7
1278,7
75,5
889,5
1661,7
1476,7
1798,7
1628,7
595,5
794,5
1855,7
1419,7
774,5
87,5
1164,7
114,5
428,5
386,5
397,5
657,5
1570,7
1616,7
410,5
880,5
1977,7
1697,7
46,5
1449,7
1345,7
88,5
1466,7
11,5
1256,7
429,5
1308,7
214,5
208,5
877,5
403,5
1022,7
1062,7
1216,7
1388,7
1642,7
1668,7
561,5
1952,7
1489,7
587,5
581,5
545,5
1114,7
1003,7
816,5
440,5
90,5
350,5
255,5
1457,7
1625,7
1589,7
764,5
576,5
758,5
1520,7
1679,7
1513,7
383,5
1083,7
696,5
1837,7
1745,7
1815,7
1258,7
270,5
627,5
1486,7
1747,7
1429,7
1718,7
177,5
1518,7
1750,7
526,5
1683,7
524,5
1893,7
1058,7
1318,7
1744,7
1244,7
855,5
388,5
978,5
954,5
1249,7
656,5
1426,7
1954,7
1630,7
1981,7
1171,7
291,5
663,5
1903,7
1512,7
722,5
724,5
961,5
215,5
1546,7
1176,7
523,5
478,5
1865,7
1182,7
1860,7
1121,7
1863,7
401,5
1971,7
1542,7
1620,7
1407,7
921,5
1622,7
1506,7
611,5
840,5
745,5
1354,7
137,5
1516,7
415,5
938,5
1963,7
1853,7
1017,7
346,5
1757,7
1110,7
806,5
1529,7
1847,7
116,5
1224,7
1899,7
1568,7
936,5
189,5
1279,7
1174,7
899,5
1876,7
984,5
1917,7
1453,7
109,5
1082,7
1031,7
1229,7
181,5
160,5
308,5
1420,7
1784,7
1027,7
1377,7
385,5
1445,7
182,5
902,5
1598,7
1195,7
895,5
1010,7
1662,7
735,5
1872,7
1200,7
1028,7
416,5
1120,7
379,5
382,5
50,5
658,5
738,5
1721,7
971,5
1163,7
1926,7
686,5
352,5
1423,7
1357,7
1824,7
1647,7
1415,7
1327,7
161,5
1444,7
1880,7
1702,7
1559,7
1204,7
900,5
1624,7
212,5
1385,7
577,5
629,5
486,5
980,5
1095,7
370,5
1093,7
1012,7
989,5
1905,7
1619,7
640,5
1143,7
360,5
1215,7
1440,7
221,5
1015,7
913,5
750,5
1754,7
534,5
1594,7
1735,7
1432,7
858,5
281,5
300,5
762,5
320,5
1152,7
1991,7
904,5
718,5
836,5
928,5
1155,7
1918,7
791,5
228,5
1122,7
365,5
1151,7
975,5
1556,7
1946,7
1833,7
569,5
32,5
1875,7
1283,7
802,5
1274,7
516,5
1051,7
1079,7
896,5
1212,7
1767,7
1873,7
1312,7
1523,7
790,5
54,5
773,5
1161,7
1539,7
912,5
244,5
367,5
781,5
1856,7
967,5
113,5
1987,7
662,5
1063,7
846,5
1296,7
830,5
1728,7
1780,7
239,5
1191,7
1534,7
755,5
1175,7
129,5
1337,7
1338,7
1999,7
1820,7
1790,7
1567,7
1691,7
126,5
1168,7
838,5
1425,7
63,5
707,5
1323,7
377,5
1835,7
372,5
242,5
1451,7
743,5
1422,7
682,5
34,5
287,5
1510,7
823,5
102,5
1276,7
1935,7
1902,7
1582,7
1097,7
465,5
1089,7
1907,7
551,5
754,5
659,5
1303,7
1591,7
985,5
39,5
47,5
1898,7
1617,7
934,5
841,5
476,5
1708,7
227,5
1488,7
575,5
1074,7
483,5
805,5
1678,7
1600,7
685,5
1078,7
1571,7
1298,7
916,5
127,5
1153,7
1019,7
870,5
405,5
1885,7
761,5
1439,7
1184,7
232,5
145,5
78,5
987,5
1009,7
772,5
1402,7
1762,7
264,5
169,5
1970,7
514,5
729,5
375,5
1406,7
1868,7
1090,7
1268,7
1522,7
1936,7
804,5
749,5
885,5
374,5
1387,7
35,5
1254,7
1469,7
1390,7
1396,7
100,5
1807,7
1211,7
1722,7
1348,7
195,5
652,5
1832,7
1178,7
622,5
236,5
294,5
1054,7
621,5
1344,7
1307,7
9,5
282,5
406,5
675,5
23,5
1462,7
1329,7
589,5
1633,7
1127,7
1247,7
1705,7
1933,7
851,5
1924,7
1043,7
310,5
815,5
968,5
1138,7
1287,7
1050,7
826,5
1733,7
1070,7
76,5
1760,7
560,5
694,5
751,5
1914,7
10,5
683,5
1493,7
471,5
1384,7
654,5
863,5
238,5
1896,7
598,5
1667,7
247,5
700,5
635,5
1500,7
625,5
81,5
950,5
1055,7
185,5
1696,7
1025,7
926,5
1424,7
251,5
1676,7
442,5
384,5
1085,7
301,5
