B,C
7,1144
5,229
5,214
7,1170
5,57
7,1305
7,1964
7,1676
7,1513
5,223
7,1080
7,1097
7,1337
7,1703
5,995
7,1136
7,1925
7,1233
5,716
5,270
7,1114
5,747
7,1811
7,1408
5,222
7,1690
5,492
7,1603
7,1081
5,260
7,1099
7,1218
5,622
7,1728
5,991
7,1848
7,1282
7,1217
5,367
7,1830
7,1861
5,693
5,596
7,1428
5,115
5,576
7,1468
7,1520
5,705
5,900
7,1709
5,219
7,1773
7,1785
7,1652
7,1065
5,126
7,1682
7,1026
7,1649
5,405
7,1228
5,344
5,698
7,1663
7,1863
5,768
7,1008
7,1893
5,132
7,1661
7,1511
5,531
5,924
7,1071
5,673
7,1211
7,1436
5,465
7,1838
7,1227
7,1647
7,1011
7,1548
5,376
7,1583
7,1188
5,570
5,111
7,1913
5,625
5,60
7,1653
7,1264
7,1089
7,1232
7,1674
7,1961
7,1559
5,427
7,1342
7,1515
7,1222
7,1405
7,1372
7,1991
5,195
5,546
7,1278
5,979
7,1726
5,256
7,1723
5,194
5,812
5,920
5,209
7,1274
5,864
7,1664
5,530
5,210
5,147
5,450
5,998
5,482
7,1409
5,216
5,181
7,1553
5,12
5,319
5,430
5,490
7,1053
5,608
7,1147
5,41
5,95
5,159
5,638
5,757
7,1248
7,1230
7,1010
5,886
5,20
5,986
7,1214
5,660
5,452
5,284
7,1905
7,1293
7,1666
5,433
5,479
5,775
5,330
7,1297
7,1745
5,134
5,89
7,1761
7,1959
5,3
7,1624
5,459
7,1729
5,380
7,1878
7,1037
5,186
7,1826
5,156
7,1843
7,1805
5,584
7,1207
5,23
7,1627
5,15
7,1545
7,1849
7,1356
5,642
5,466
7,1971
7,1842
7,1219
5,163
5,371
5,645
5,84
7,1510
5,431
7,1480
7,1651
5,21
7,1499
5,208
7,1209
7,1475
5,974
7,1171
5,362
5,794
5,481
5,103
7,1298
5,748
5,107
7,1427
5,331
5,183
5,297
5,291
7,1916
5,102
7,1857
5,16
7,1618
5,56
5,555
5,246
5,960
7,1524
5,700
5,1000
5,198
5,551
7,1816
5,890
5,175
7,1906
5,797
7,1463
7,1526
5,688
7,1541
5,611
5,881
5,933
5,240
7,1269
7,1979
7,1885
5,789
7,1406
5,468
5,639
5,267
7,1823
7,1296
7,1095
7,1231
7,1612
5,690
7,1696
5,734
7,1743
7,1165
5,436
5,902
7,1518
5,511
7,1335
5,896
5,668
7,1370
7,1710
7,1166
5,744
7,1727
5,301
5,345
5,993
5,52
7,1238
7,1975
7,1487
