C,D
2561,2472
2097,1635
2753,2567
2480,2215
2689,1695
2309,154
2231,1034
2366,639
2782,1017
2623,1931
2634,1855
2607,2448
2981,1056
2590,2553
2663,557
2536,1724
2441,1956
2866,474
2840,1588
2743,2315
2245,889
2769,2372
2663,2485
2829,737
2110,1188
2240,654
2930,2752
2905,570
2531,1031
2496,2000
2470,2698
2721,2361
2190,905
2870,298
2139,2784
2692,1879
2843,2707
2281,612
2090,1154
2229,2363
2069,726
2199,1313
2825,1161
2917,2350
2203,2970
2776,1423
2946,1858
2449,1617
2859,2754
2689,482
2299,2752
2400,2758
2154,369
2381,1563
2679,443
2168,593
2762,2956
2243,2593
2812,2619
2476,483
2165,1704
2224,1401
2900,1007
2314,861
2785,1793
2915,1388
2985,2778
2511,2018
2766,1602
2043,289
2777,2984
2555,2966
2765,1280
2874,492
2514,491
2423,2256
2564,2011
2501,1831
2499,785
2330,987
2528,2084
2562,2139
2212,2848
2022,2157
2382,1900
2916,2584
2621,2641
2560,877
2704,937
2430,2495
2845,1641
2605,2066
2266,1310
2935,2420
2123,942
2348,2561
2277,749
2851,1240
2702,2640
2858,2017
2843,1512
2651,1487
2695,847
2558,2211
2740,1106
2717,949
2464,1121
2262,278
2476,2647
2891,2777
2666,1768
2766,2811
2474,2641
2746,2096
2633,1094
2500,2260
2568,2274
2541,699
2703,1114
2629,1064
2938,2388
2354,1175
2249,1526
2053,434
2061,2527
2439,1659
2053,2760
2770,1060
2212,2968
2263,698
2643,269
2011,2871
2118,2810
2646,2167
2794,455
2429,985
2874,2031
2139,2058
2753,317
2941,51
2048,2871
2762,2179
2274,2167
2222,1873
2569,2958
2865,599
2397,947
2043,1756
2675,648
2445,2968
2635,391
2320,1149
2314,1367
2913,1237
2699,126
2483,220
2174,20
2495,637
2368,2882
2493,818
2511,1211
2323,1298
2264,202
2891,1815
2052,447
2007,1354
2191,108
2340,961
2217,2420
2078,2964
2716,2171
2919,828
2231,2979
2387,2678
2694,544
2933,344
2873,2100
2821,829
2446,1330
2257,388
2472,2937
2269,2688
2179,2993
2009,1537
2548,31
2809,2368
2094,1626
2748,2589
2492,250
2532,63
2730,2448
2406,1112
2502,2434
2938,275
2208,535
2946,738
2341,2516
8,30
2657,825
2701,1784
2668,154
2592,1467
2600,491
2988,797
2800,878
2829,53
2057,618
2245,1421
2354,2317
2537,2066
2590,20
2778,1751
2325,2275
2952,328
2143,1691
2077,1401
2311,717
2294,798
2043,881
2694,2718
2074,1935
2828,2811
2189,467
2717,2123
2060,718
2061,448
2456,2073
2250,2544
2966,1889
2587,2989
2765,2609
2111,634
2216,2851
2754,385
2806,1172
2961,1939
2739,465
2291,102
2358,781
2983,2552
2836,526
2987,1870
2529,652
2432,2711
2185,2917
2266,1489
2167,2753
2282,1509
2465,468
2919,1151
2630,2545
2272,1514
2116,1533
2117,543
2127,175
2455,2567
2377,2385
2486,154
2540,2556
2743,2821
2076,2899
2369,1965
2333,2805
2375,1296
2862,2694
2225,1912
2097,2862
2095,468
2023,2824
2199,823
2459,1295
2950,605
2720,2418
2985,2128
2398,758
2845,1902
2871,2078
2758,475
2925,2519
2729,1710
2450,2979
2955,1597
2807,1616
2616,1938
2639,2016
2120,17
2402,2325
2332,2910
2810,2346
2154,2287
2365,712
2299,793
2332,1510
2648,725
2704,2534
2516,2859
2296,1750
2438,1280
2183,2797
2643,1020
2218,835
2868,1045
2674,988
2057,730
2072,942
2659,2229
2563,1979
2746,121
2921,2354
2113,720
2148,1296
2540,2691
2796,716
2143,1086
2708,2118
2928,2049
2876,2344
2555,1818
2768,2605
2386,2254
2164,2578
2187,2504
2101,1929
2666,2915
2099,188
2006,2173
2360,2296
2293,2657
2139,2044
2079,77
2635,2494
2030,1584
2997,419
2131,175
2117,224
2537,1719
2785,1037
2059,953
2495,477
2975,1692
2883,1333
2282,1630
2022,1384
2974,663
2258,600
2806,1387
2267,1715
2435,1497
2460,361
2327,597
2183,1866
2573,1587
2807,2810
2046,524
2234,2268
2562,349
2582,2409
2450,1719
2277,2669
2886,2731
2330,1412
2672,35
2715,2008
2162,2186
2213,939
2119,63
2456,528
2712,2609
2432,1358
2706,2870
2767,2674
2926,1291
2915,2200
2458,609
2812,2475
2257,955
2400,2605
2159,98
2739,6
2772,2438
2656,860
2097,1226
2100,2144
2413,159
2856,1245
2752,1192
2821,613
2062,90
2855,1684
2069,612
2051,1581
2246,2516
2269,2196
2743,552
2624,1252
2435,2313
2153,226
2640,2407
2136,866
2971,480
2882,1125
2721,2725
2963,2343
2325,70
2253,2652
2642,733
2517,482
2998,827
2031,144
2483,950
2668,2815
2730,1017
2728,2076
2392,2514
2518,1576
2028,1627
2228,2620
2579,253
2890,2194
2854,720
2156,2853
2011,1942
2860,2472
2294,1731
2962,2852
2052,758
2649,891
2030,2882
2125,1610
2257,2584
2374,2933
2120,1443
2525,1084
2149,2527
2420,1056
2199,927
2166,283
2180,2897
2762,2651
2613,209
2664,710
2804,2284
2996,1826
2909,2099
2482,2192
2890,2767
2230,2416
2458,985
2439,359
2348,2434
2985,1944
2310,2010
2082,1881
2695,2873
2353,2976
2234,367
2040,2968
2005,2551
2446,2595
2075,1091
2677,599
2817,30
2755,199
2941,308
2675,2460
2861,255
2303,1839
2563,1823
2563,221
2085,1150
2082,1908
2167,2652
2807,2869
2665,1507
2426,1696
2647,2641
2361,2784
2150,218
2133,222
2139,1231
2377,905
2131,538
2962,1975
2709,974
2520,1553
2765,202
2103,131
2401,1550
2874,1429
2026,1249
2941,1863
2821,1728
2587,804
2817,672
2067,1078
2152,230
2968,2274
2369,1252
2208,2691
2280,2870
2242,2712
2576,1593
2586,2342
2446,2859
2681,1360
2007,374
2912,322
2564,300
2026,1905
2451,44
2974,1840
2982,174
2495,2211
2360,1411
2605,2067
2783,750
2376,2507
2233,2841
2589,1003
2877,1853
2640,598
2256,1577
2775,2411
2424,1447
2723,2442
2818,146
2273,374
2101,2699
2590,933
2057,54
2949,1106
2464,371
2907,1696
2904,191
2358,1326
2801,726
2333,2834
2928,1049
2346,339
2397,1051
2513,375
2602,1061
2083,664
2179,685
2742,415
2004,53
2117,1698
2143,2380
2577,1968
2263,2191
2838,485
2411,2331
2795,609
2147,660
2405,2505
2879,2042
2094,1025
2764,644
2392,465
2703,403
2718,2437
2564,1305
2829,790
2782,2507
2142,821
2918,2708
2591,401
2317,1629
2028,2685
2699,1888
2702,1442
2554,726
2565,1330
2599,2377
2729,1907
2481,2618
2815,1131
2778,1279
2468,2982
2968,2543
2353,935
2008,2628
2479,2907
2739,2533
2756,145
2403,752
2196,792
2371,16
2694,17
2314,1844
2989,1196
2921,1553
2741,2051
2900,1966
2769,328
2610,197
2629,224
2923,1375
2985,1996
2885,615
2022,2795
2948,957
2494,2291
2057,48
2731,2625
2135,553
2491,2215
2591,2068
2672,842
2899,2204
2670,1430
2562,1286
2890,2660
2223,1840
2885,2932
2489,1859
2117,737
2483,744
2153,542
2752,791
2730,2669
2364,896
2985,298
2983,2512
2952,230
2366,640
2416,1591
2142,671
2053,533
2320,2512
2860,2397
2535,2728
2117,1685
2630,1978
2166,2393
2642,2459
2565,1645
2070,1592
2946,2015
2482,2917
2350,2937
2871,2468
2160,387
2874,1191
2796,2541
2382,2543
2469,1213
2530,2584
2039,596
2535,501
2498,2895
2393,2133
2424,2646
2557,1266
2702,680
2912,189
2100,204
2768,2974
2229,2750
2122,2129
2068,1200
2389,1257
2857,2135
2561,555
2327,2153
2002,2144
2178,1450
2268,638
2035,1470
2105,2714
2815,80
2986,1880
2368,1793
2488,2820
2140,2858
2948,2360
2146,505
2900,1411
2406,2672
2571,2254
2784,899
2407,996
2915,1320
2938,2272
2583,540
2233,1101
2381,2291
2519,1626
2307,1357
2295,1900
2973,2347
2400,768
2993,2302
2622,2941
2665,1529
2847,2825
2691,2091
2232,622
2229,9
2237,316
2600,625
2632,2712
2458,728
2291,1223
2798,1078
2173,2204
2535,1174
2751,1919
2975,2533
2205,2363
2622,2323
2146,2848
2921,319
2390,1469
2062,653
2370,442
2735,1385
2149,1221
2159,224
2588,966
2919,1373
2361,2237
2845,596
2153,2403
2349,1537
2193,2247
2333,26
2166,162
2080,2980
2999,1815
2083,2463
2354,868
2971,1955
2180,1166
2416,293
2800,1953
2363,2743
2491,3
2145,2955
2455,1444
2723,2907
2227,754
2052,1947
2890,1973
2805,2852
2629,2342
2879,907
2539,2362
2166,2999
2035,1674
2195,23
2678,1154
2799,2398
2101,106
2213,2673
2837,230
2024,163
2248,2307
2842,231
2242,992
2642,982
2531,2188
2675,2007
2382,367
2604,2702
2798,828
2091,1146
2794,2890
2554,5
2961,2033
2612,952
2456,1558
2906,2497
2546,1579
2433,2586
2341,156
2839,812
2900,1684
2094,910
2020,421
2467,1655
2573,2287
2655,1949
2781,1998
2877,2701
2192,815
2318,940
2710,2370
2903,1409
2512,818
2230,2255
2858,2534
2988,2536
2014,1879
2631,695
2708,1154
2870,1976
2857,2352
2655,1224
2914,2428
2136,2359
2883,2812
2879,1132
2308,2874
2950,1563
2930,453
2421,2856
2134,2517
2927,1293
2331,453
2667,729
2002,2975
2913,121
2865,2255
2995,1205
2859,237
2587,2495
2097,1976
2393,2596
2368,2060
2383,2812
2055,659
2260,1944
2820,1449
2196,1193
2035,2059
2723,816
2672,2751
2629,2563
2593,1411
2190,1588
2712,456
2495,2766
2133,1060
2404,2342
2905,2297
2765,319
2046,1215
2836,559
2389,2255
2128,2242
2724,2146
2381,178
2581,2322
2288,1847
2988,1405
2988,1133
2046,532
2291,1322
2369,2078
2921,2669
2157,770
2311,968
2207,2853
2933,554
2634,483
2673,2013
2228,628
2843,2115
2670,1194
2927,583
2374,223
2504,750
2673,2314
2887,2140
2805,154
2384,58
2101,415
2695,2988
2328,1070
2760,1985
2925,2008
2817,2236
2592,649
2686,1418
2369,772
2370,147
2425,2416
2012,2715
2642,484
2777,2106
